source,source_entry,date_day,date_month,date_year,actor_id,actor_first_name,actor_surname,role,status,phase
BRGA818,00001599A,,,1599,5912,Bartholomeus,Van der Meren,member,dean,start
BRGA818,00001599A,,,1599,5913,Jan,Van Ponberghe,member,dean,start
BRGA818,00001599A,,,1599,6930,Carel,Van den Steen,member,dean,start
BRGA818,00001599B,,,1599,5917,Antoon,Van Schelle,member,master,start
BRGA818,00001599C,,,1599,5936,Abraham,Gyoryns,member,master’s son,start
BRGA818,00001599C,,,1599,5937,Jan,Gyoryns,member,master,start
BRGA818,00001599D,,,1599,5938,Nicolaes,Van Zeunen,member,apprentice,start
BRGA818,00001599D,,,1599,5940,Fernand,Bert,member,teacher,start
BRGA818,00001599E,,,1599,5943,Francois,De Sainctsaule,member,apprentice,start
BRGA818,00001599E,,,1599,5945,Denys,Van Alsloot,member,teacher,start
BRGA818,00001599F,,,1599,5947,Philips,Britseels,member,apprentice,start
BRGA818,00001599F,,,1599,5948,Francois,De Godts,member,teacher,start
BRGA818,00001600A,,,1600,6955,Nicolaes,Van Rillaert,member,dean,start
BRGA818,00001600A,,,1600,5962,Carel,Lambrechts,member,dean,start
BRGA818,00001600A,,,1600,6085,Hieronymus,Van Orley,member,dean,start
BRGA818,00001600B,,,1600,5983,Philips,Matthys,member,apprentice,start
BRGA818,00001600B,,,1600,5985,Jacques,De Vries,member,teacher,start
BRGA818,00001600C,,,1600,5988,Christoffel,Regybus,member,apprentice,start
BRGA818,00001600C,,,1600,5912,Bartholomeus,Van der Meren,member,teacher,start
BRGA818,00001600D,,,1600,5990,Willem,Van Gent,member,apprentice,start
BRGA818,00001600D,,,1600,5962,Carel,Lambrechts,member,teacher,start
BRGA818,00001600E,,,1600,5993,Francois,De Streu,member,apprentice,start
BRGA818,00001600E,,,1600,5995,Peter,Noveliers,member,teacher,start
BRGA818,00001600F,,,1600,6854,Daniel,Ficquaert,member,apprentice,start
BRGA818,00001600F,,,1600,6261,Jan,Gotemans,member,teacher,start
BRGA818,00001600G,,,1600,6304,Joris,Storm,member,apprentice,start
BRGA818,00001600G,,,1600,5962,Carel,Lambrechts,member,teacher,start
BRGA818,1601,,,1601,6955,Nicolaes,Van Rillaert,member,dean,start
BRGA818,1601,,,1601,5962,Carel,Lambrechts,member,dean,start
BRGA818,1601,,,1601,6085,Hieronymus,Van Orley,member,dean,start
BRGA818,00001602A,,,1602,6039,Jacques,De Fayter,member,dean,start
BRGA818,00001602A,,,1602,6023,Lenard,Wauwermans,member,dean,start
BRGA818,00001602A,,,1602,3002,Jan,Van Bronckhorst,member,dean,start
BRGA818,00001602B,,,1602,6080,Antoon,Waelrant,member,apprentice,start
BRGA818,00001602B,,,1602,6081,Gilbert,Van Weenen,member,teacher,start
BRGA818,00001603A,,,1603,5933,Nicolaes,Mertens,member,dean,start
BRGA818,00001603A,,,1603,5929,Philips,Van Bentem,member,dean,start
BRGA818,00001603A,,,1603,6255,Cornelis,De Bloyer,member,dean,start
BRGA818,00001603B,,,1603,6104,Jan Baptist,Grondone,member,apprentice,start
BRGA818,00001603B,,,1603,6106,Gillis,Claessens,member,teacher,start
BRGA818,00001603C,,,1603,6116,Hans,Clunebris,member,apprentice,start
BRGA818,00001603C,,,1603,5912,Bartholomeus,Van der Meren,member,teacher,start
BRGA818,00001604A,,,1604,6112,Aert,Bleter,member,apprentice,start
BRGA818,00001604A,,,1604,6045,Adriaen,Van Zinnick,member,teacher,start
